seed = 955873387892604119

======================================================================
Testing Stage 4 W=28 (Stage 3 W=34)
======================================================================
Starting MMA Modeling Verification (10000 iterations)...
Test 338/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 339/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 340/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 341/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 342/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 343/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 344/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 345/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 346/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 347/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 348/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 349/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 350/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 351/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 352/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 353/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 354/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 355/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 356/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 357/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 358/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 359/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 360/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 361/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 362/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 363/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 364/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 365/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
